LIMS_ID,B.naive,B.memory,Plasma.,T.CD8,T.CD4.naive,T.CD4.memory.resting,T.CD4.memory.activated,T.follicular.helper,T.regulatory.(Tregs),T.gamma.delta,NK.resting,NK.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.resting,Dendritic.activated,Mast.resting,Mast.activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HOA7818A68,0.028513417,0,0,0.151571026,0.030638159,0,0.00877243,0,0.064634833,0,0.053735583,0.031782086,0.30742253,0.004306866,0,0,0,0,0,0,0,0.318623069,0,0.83221398,0.598351396
HOA7818A70,0.005661264,0.025091365,0,0.07748672,0.104344269,0.035331835,0.027455713,0,0.028050386,0,0,0.036337911,0.295431155,0,0,0,0.002526153,0.008035634,0.030203926,0,0,0.324043669,0,0.771601321,0.660042825
HOA7818A71,0.020541259,0,0,0.158451732,0,0,0.006972119,0,0.055549882,0,0.070940671,0.002331171,0.392817204,0.004674359,0,0,0,0.000264822,0,0.001955808,0,0.285500974,0,0.82929362,0.598731565
HOA7818A72,0.018393632,0,0,0.14247395,0.002440901,0,0.00801443,0,0.023617402,0,0.023675793,0.016380948,0.41104853,0.008031889,0,0,0,0,0,0,0,0.345922526,0,0.848219136,0.558410018
HOA7818A73,0,0.009817402,0.005394226,0.10560103,0.067764062,0,0.031810788,0,0.024464762,0,0,0.012399479,0.427663814,0,0.001108409,0,0.00527951,0.007117615,0.023136235,0,0,0.278442668,0,0.734225684,0.688946739
HOA7818A74,0.038261839,0,0,0.216078092,0,0,0.006254697,0,0.050648865,0,0.085858203,0.020722415,0.294005422,0.015271543,0,0,0,0,0.003585418,0,0,0.269313505,0,0.764119952,0.672490833
HOA7818A75,0.031507618,0,0,0.182228911,0.019449919,0,0.010768609,0,0.042191586,0,0.067174618,0.012400594,0.34720726,0.014955743,0,0,0,0,0.00885863,0,0,0.263256514,0,0.79329547,0.645305784
HOA7818A76,0,0.015749217,0.001703533,0.138992436,0.080260779,0.039093913,0.048609478,0,0.006645755,0,0,0.03302557,0.349828631,0,0,0,0.00406523,0.007379748,0.011017957,0,0,0.263627751,0,0.81122464,0.631312206
HOA7818A77,0.013974853,0.001472635,0,0.188854751,0,0.051326649,0.011244436,0,0.006147862,0,0.026813881,0.044073731,0.392970534,0,0,0,0,0.000146038,0.001387764,0,0,0.261586866,0,0.841802339,0.591028025
HOA7818A78,0.083501543,0,0,0.252440181,0.01185864,0,0.014470009,0,0.057595784,0,0.023492876,0.037233155,0.260922653,0,0,0,0,0,0.007896839,0,0,0.250588319,0,0.822916185,0.631199082
HOA7818A79,0.011122837,0.005224064,0,0.316156125,0,0,0.000460597,0,0.028969762,0,0.044432428,0.081683808,0.276109724,0.004457803,0,0,0,0,0.006738358,0,0,0.224644494,0,0.8420336,0.603955287
HOA7818A80,0.008478826,0,6.44E-05,0.197640268,0,0.005910049,0.01081119,0,0.014727081,0,0.012612162,0.046425153,0.45521859,0.011622801,0,0.003280174,0,0,0.010432118,0,0,0.222777168,0,0.845782952,0.588134826
HOA7818A81,0.020340838,0.014044228,0,0.306938828,0.027365312,0,0.034914217,0,0.024034384,0,0,0.084633457,0.295869888,0.005989404,0,0,0.009065583,0,0.015724998,0,0,0.161078863,0,0.800652093,0.659614079
